Username,Party
SenShelby,R
SenDougJones,D
lisamurkowski,R
SenDanSullivan,R
SenJonKyl,R
JeffFlake,R
SenTomCotton,R
JohnBoozman,R
SenFeinstein,D
SenKamalaHarris,D
SenBennetCO,D
SenCoryGardner,R
ChrisMurphyCT,D
SenBlumenthal,D
SenatorCarper,D
ChrisCoons,D
SenBillNelson,D
marcorubio,R
SenDavidPerdue,R
SenatorIsakson,R
brianschatz,D
maziehirono,D
MikeCrapo,R
SenatorRisch,R
SenDuckworth,D
SenatorDurbin,D
SenDonnelly,D
SenToddYoung,R
ChuckGrassley,R
joniernst,R
SenPatRoberts,R
JerryMoran,R
SenateMajLdr,R
RandPaul,R
BillCassidy,R
SenJohnKennedy,R
SenAngusKing,D
SenatorCollins,R
ChrisVanHollen,D
SenatorCardin,D
senmarkey,D
SenWarren,D
SenGaryPeters,D
SenStabenow,D
amyklobuchar,D
SenTinaSmith,D
SenatorWicker,R
clairecmc,D
RoyBlunt,R
SteveDaines,R
SenatorTester,D
SenatorFischer,R
BenSasse,R
SenCortezMasto,D
SenDeanHeller,R
SenatorShaheen,D
SenatorHassan,D
CoryBooker,D
SenatorMenendez,D
MartinHeinrich,D
SenatorTomUdall,D
SenSchumer,D
SenGillibrand,D
SenatorBurr,R
SenThomTillis,R
SenatorHeitkamp,D
SenJohnHoeven,R
SenSherrodBrown,D
SenRobPortman,R
SenatorLankford,R
RonWyden,D
SenJeffMerkley,D
SenBobCasey,D
SenToomey,R
SenJackReed,D
SenWhitehouse,D
GrahamBlog,R
SenatorTimScott,R
SenatorRounds,R
SenJohnThune,R
SenAlexander,R
BobCorker,R
JohnCornyn,R
SenTedCruz,R
SenOrrinHatch,R
SenMikeLee,R
SenatorLeahy,D
SenatorSanders,D
timkaine,D
MarkWarner,D
PattyMurray,D
SenatorCantwell,D
SenCapito,R
Sen_JoeManchin,D
SenatorBaldwin,D
SenRonJohnson,R
SenatorEnzi,R
SenJohnBarrasso,R
POTUS,R
FLOTUS,R
BarackObama,D
realDonaldTrump,R
VP,R
JoeBiden,D
MichelleObama,D
